Trajectories
120
,,Pilot2:LFHD,,,Pilot2:RFHD,,,Pilot2:LBHD,,,Pilot2:RBHD,,,Pilot2:C7,,,Pilot2:T10,,,Pilot2:CLAV,,,Pilot2:STRN,,,Pilot2:RBAK,,,Pilot2:LSHO,,,Pilot2:LUPA,,,Pilot2:LELB,,,Pilot2:LFRM,,,Pilot2:LWRA,,,Pilot2:LWRB,,,Pilot2:LFIN,,,Pilot2:RSHO,,,Pilot2:RUPA,,,Pilot2:RELB,,,Pilot2:RFRM,,,Pilot2:RWRA,,,Pilot2:RWRB,,,Pilot2:RFIN,,,Pilot2:LASI,,,Pilot2:RASI,,,Pilot2:LPSI,,,Pilot2:RPSI,,,Pilot2:LTHI,,,Pilot2:LKNE,,,Pilot2:LTIB,,,Pilot2:LANK,,,Pilot2:LHEE,,,Pilot2:LTOE,,,Pilot2:RTHI,,,Pilot2:RKNE,,,Pilot2:RTIB,,,Pilot2:RANK,,,Pilot2:RHEE,,,Pilot2:RTOE,,,Pilot2:LKAX,,,Pilot2:LKD1,,,Pilot2:LKD2,,,Pilot2:RKAX,,,Pilot2:RKD1,,,Pilot2:RKD2,,,Pilot2:LMED,,,Pilot2:RMED,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
115,0,-1312.280029,379.470825,1605.285278,-1319.805664,256.754089,1607.918945,-1497.942139,406.845154,1601.952393,-1474.979980,241.539719,1607.825806,-1568.665894,339.593109,1496.923340,-1642.302246,337.467651,1148.803589,-1450.643433,336.620850,1401.020996,-1409.400879,343.402252,1216.794800,-1671.395996,250.854614,1288.476440,-1503.883179,497.210144,1446.125244,-1513.166016,589.715332,1192.368286,-1527.891235,593.691345,1097.936157,-1481.155396,599.378540,1007.248413,-1437.983154,526.168030,844.213684,-1475.120117,591.757385,841.381592,-1419.083496,569.266052,753.426331,-1532.054932,172.352768,1423.686768,-1592.424561,102.312561,1191.849487,-1627.808716,104.197090,1076.576050,-1590.291870,62.055012,987.243652,-1525.068237,87.309746,812.625977,-1594.785400,59.301594,814.499939,-1535.737915,43.938633,721.979126,-1468.498047,462.660461,987.835999,-1484.382446,206.564758,1000.350098,-1661.096924,380.395813,1031.575562,-1663.985718,299.446320,1028.945190,-1598.733154,512.751160,605.336365,-1651.476318,476.317566,493.475159,-1690.562256,477.509918,397.963165,-1841.950928,405.987640,67.138588,-1892.205200,363.194214,32.037651,-1693.561890,385.729614,33.213264,-1405.294800,151.646164,678.184082,-1377.507935,172.840530,520.553162,-1325.456665,162.774948,336.416412,-1246.193481,221.007202,68.587906,-1262.691162,269.860657,34.187714,-1093.543823,208.927155,101.430923,,,,,,,,,,,,,,,,,,,-1807.252563,319.992584,71.243378,-1212.304199,296.636749,101.123802
116,0,-1304.290039,378.506317,1604.033569,-1311.856445,255.925888,1606.587158,-1490.052368,405.871338,1600.541016,-1466.951904,240.567245,1606.305420,-1560.679688,338.735901,1495.482300,-1634.809204,336.610443,1147.462402,-1442.699219,335.939789,1399.430786,-1401.797119,343.126038,1215.032837,-1663.656982,250.104584,1286.683960,-1496.361206,496.517822,1444.754639,-1505.970337,588.929993,1190.910767,-1520.646118,592.783325,1096.410156,-1473.933838,598.631531,1005.823242,-1430.458740,525.330627,842.904968,-1467.941895,590.762573,839.918335,-1411.702026,568.397400,752.017761,-1524.122314,171.592102,1421.775513,-1585.029175,101.746536,1190.011597,-1621.004028,103.761978,1074.995850,-1584.352539,61.486221,985.505798,-1521.044434,86.604828,810.185486,-1590.660034,58.544113,812.824585,-1532.743164,43.217571,719.647461,-1462.074951,462.775696,986.113708,-1476.831177,206.533997,998.510742,-1654.007813,379.132721,1030.224487,-1656.667114,298.244629,1027.785645,-1595.332764,512.883728,604.777527,-1649.160156,476.443512,493.345215,-1688.823853,477.567535,398.025818,-1841.696899,406.165833,67.700256,-1892.068848,363.273071,33.157269,-1693.534058,385.860168,33.028240,-1397.395874,152.113525,676.331116,-1370.175537,173.148804,518.478882,-1317.838379,163.596863,334.309021,-1237.784546,222.019272,66.746483,-1254.738037,270.612610,32.725082,-1084.418823,211.104187,100.783913,,,,,,,,,,,,,,,,,,,-1806.866821,320.051056,71.755951,-1204.340210,297.910583,99.084862
117,0,-1296.229858,377.499298,1602.932739,-1303.833740,255.056076,1605.408936,-1482.084473,404.843933,1599.284180,-1458.846802,239.543060,1604.947632,-1552.612427,337.814850,1494.193115,-1627.189697,335.747986,1146.269409,-1434.665283,335.186340,1398.006592,-1394.070679,342.758911,1213.452881,-1655.802002,249.295502,1285.066162,-1488.714111,495.751831,1443.550049,-1498.664185,588.104858,1189.645508,-1513.321167,591.847717,1095.076050,-1466.627686,597.859131,1004.579529,-1422.816162,524.476746,841.780884,-1460.649170,589.746948,838.642639,-1404.198364,567.514038,750.798950,-1516.088013,170.765610,1420.044067,-1577.484253,101.119614,1188.338623,-1614.011475,103.273521,1073.564453,-1578.167603,60.878933,983.922119,-1516.645630,85.891045,807.945984,-1586.164551,57.771168,811.301941,-1529.314453,42.492073,717.505737,-1455.448242,462.796295,984.551941,-1469.148438,206.441544,996.881042,-1646.754272,377.891846,1029.020386,-1649.201294,297.059357,1026.765137,-1591.622192,512.929749,604.330566,-1646.501343,476.517029,493.303467,-1686.782715,477.588593,398.202881,-1841.374756,406.416687,68.492691,-1891.898804,363.453247,34.540230,-1693.458008,386.008606,32.865463,-1389.309448,152.498093,674.713684,-1362.606445,173.433289,516.663330,-1310.215576,164.376648,332.431671,-1229.917358,222.982254,65.064644,-1247.389404,271.333466,31.470798,-1075.908203,213.104080,99.580276,,,,,,,,,,,,,,,,,,,-1806.423096,320.186859,72.457405,-1196.831177,299.121124,97.115456
118,0,-1288.098999,376.449890,1601.982178,-1295.737671,254.144730,1604.384399,-1474.038818,403.763000,1598.182129,-1450.664673,238.467148,1603.752319,-1544.464233,336.829865,1493.055054,-1619.443481,334.880310,1145.225220,-1426.542114,334.360474,1396.748291,-1386.221191,342.300964,1212.055054,-1647.831177,248.427399,1283.622925,-1480.941284,494.912201,1442.511841,-1491.247314,587.239624,1188.572388,-1505.916504,590.884521,1093.933960,-1459.237305,597.061584,1003.517273,-1415.055176,523.606567,840.841370,-1453.241577,588.710815,837.554749,-1396.572632,566.615967,749.769897,-1507.951660,169.873291,1418.492432,-1569.789917,100.431816,1186.830444,-1606.831665,102.731720,1072.281250,-1571.736938,60.233143,982.492249,-1511.871948,85.168411,805.907288,-1581.299683,56.982769,809.931702,-1525.451294,41.762150,715.553955,-1448.617676,462.722229,983.150757,-1461.334106,206.287354,995.461121,-1639.336304,376.673157,1027.963745,-1641.588135,295.890625,1025.883423,-1587.601318,512.889282,603.995544,-1643.499268,476.538269,493.349854,-1684.438232,477.573242,398.494354,-1840.984131,406.739960,69.516060,-1891.694336,363.734314,36.187065,-1693.333374,386.174805,32.725151,-1381.035645,152.799774,673.331665,-1354.801025,173.693787,515.106262,-1302.588623,165.114044,330.784210,-1222.592163,223.896057,63.542297,-1240.644287,272.023193,30.424387,-1068.011963,214.925766,97.823616,,,,,,,,,,,,,,,,,,,-1805.920654,320.399933,73.347733,-1189.776978,300.268188,95.215935
119,0,-1279.898315,375.358032,1601.182007,-1287.568237,253.191895,1603.513550,-1465.915527,402.628510,1597.234619,-1442.405762,237.339539,1602.719360,-1536.235352,335.781128,1492.068481,-1611.571045,334.007294,1144.329102,-1418.329834,333.462372,1395.656372,-1378.248901,341.752258,1210.839355,-1639.745117,247.500259,1282.354492,-1473.043579,493.998932,1441.639404,-1483.719971,586.334595,1187.691162,-1498.432251,589.893738,1092.983521,-1451.762573,596.238708,1002.636414,-1407.176025,522.719910,840.086182,-1445.719727,587.653931,836.654358,-1388.824585,565.703186,748.930664,-1499.713501,168.915192,1417.120361,-1561.946411,99.683105,1185.486816,-1599.463989,102.136536,1071.146606,-1565.060669,59.548832,981.216431,-1506.723022,84.436890,804.069580,-1576.064819,56.178955,808.713867,-1521.153809,41.027832,713.792053,-1441.583496,462.553711,981.910278,-1453.387939,206.071381,994.250610,-1631.754395,375.476685,1027.054077,-1633.827637,294.738342,1025.140625,-1583.268799,512.762695,603.772339,-1640.152466,476.507599,493.483795,-1681.789307,477.521881,398.899750,-1840.523682,407.135071,70.770935,-1891.453735,364.114990,38.099262,-1693.158936,386.358276,32.607845,-1372.576172,153.018219,672.184204,-1346.761108,173.929993,513.806824,-1294.957886,165.808502,329.365784,-1215.806641,224.760315,62.179081,-1234.499512,272.681488,29.584457,-1060.729736,216.566376,95.524239,,,,,,,,,,,,,,,,,,,-1805.357666,320.690338,74.427032,-1183.176270,301.351410,93.387199
120,0,-1271.627686,374.223999,1600.532227,-1279.325806,252.197678,1602.796143,-1457.714966,401.440613,1596.441406,-1434.070435,236.160370,1601.848267,-1527.926025,334.668579,1491.233154,-1603.572632,333.128632,1143.581055,-1410.028564,332.492126,1394.730103,-1370.154419,341.113129,1209.805664,-1631.543579,246.513992,1281.259888,-1465.021606,493.012207,1440.932983,-1476.082642,585.389648,1187.001587,-1490.868774,588.875549,1092.224243,-1444.203613,595.390686,1001.936584,-1399.178711,521.817139,839.515076,-1438.083252,586.576660,835.941284,-1380.954102,564.776123,748.281189,-1491.374146,167.891403,1415.927734,-1553.953857,98.873451,1184.307617,-1591.909180,101.487923,1070.160034,-1558.138916,58.825966,980.093994,-1501.199219,83.696404,802.432556,-1570.460327,55.359798,807.648071,-1516.421631,40.289169,712.219849,-1434.345825,462.290985,980.830383,-1445.310181,205.793488,993.248840,-1624.008545,374.302368,1026.291260,-1625.920532,293.602509,1024.536255,-1578.622559,512.551208,603.660400,-1636.457764,476.425903,493.704254,-1678.832886,477.435333,399.418274,-1839.990723,407.600677,72.258347,-1891.172485,364.592651,40.279858,-1692.933472,386.558441,32.514545,-1363.932617,153.152878,671.269348,-1338.489380,174.141022,512.763062,-1287.325073,166.458740,328.174988,-1209.557373,225.574326,60.974155,-1228.948486,273.307617,28.948092,-1054.059937,218.020935,92.703239,,,,,,,,,,,,,,,,,,,-1804.730347,321.057861,75.695297,-1177.026855,302.369690,91.631081
121,0,-1263.288208,373.048096,1600.032471,-1271.011230,251.162323,1602.232056,-1449.437988,400.199524,1595.802124,-1425.659668,234.929825,1601.138916,-1519.537109,333.492279,1490.548218,-1595.448364,332.243958,1142.980103,-1401.639282,331.450165,1393.969238,-1361.938110,340.383942,1208.953003,-1623.227295,245.468475,1280.338501,-1456.876343,491.952179,1440.391602,-1468.336426,584.405029,1186.503052,-1483.226685,587.829895,1091.656128,-1436.560791,594.517456,1001.417419,-1391.063843,520.898376,839.127869,-1430.332642,585.479126,835.415222,-1372.961792,563.835205,747.821045,-1482.933594,166.801987,1414.914185,-1545.812988,98.002785,1183.292236,-1584.167725,100.785721,1069.321289,-1550.972168,58.064484,979.124756,-1495.300537,82.946831,800.995972,-1564.485962,54.525444,806.733826,-1511.254517,39.546242,710.837097,-1426.904785,461.934509,979.911438,-1437.100708,205.453491,992.454712,-1616.099365,373.149994,1025.674683,-1617.866455,292.482880,1024.069824,-1573.659058,512.256409,603.658875,-1632.410278,476.294830,494.009186,-1675.563843,477.315094,400.048126,-1839.379395,408.134674,73.979973,-1890.843140,365.162628,42.733906,-1692.653564,386.773895,32.446663,-1355.109375,153.202698,670.583740,-1329.991821,174.325516,511.971405,-1279.693237,167.062775,327.208679,-1203.838745,226.337051,59.925976,-1223.980469,273.900513,28.510208,-1047.999023,219.282608,89.396004,,,,,,,,,,,,,,,,,,,-1804.030884,321.502350,77.152489,-1171.324707,303.321564,89.950417
122,0,-1254.881104,371.830688,1599.682251,-1262.625366,250.086212,1601.820801,-1441.086060,398.905518,1595.316162,-1417.174072,233.648285,1600.590698,-1511.069580,332.252380,1490.013306,-1587.199219,331.352661,1142.525635,-1393.162598,330.337006,1393.373291,-1353.601440,339.565643,1208.281006,-1614.796753,244.363586,1279.588989,-1448.610352,490.819031,1440.014893,-1460.482544,583.380737,1186.194702,-1475.506348,586.757080,1091.277588,-1428.834717,593.619263,1001.078125,-1382.831787,519.964172,838.923767,-1422.468384,584.361938,835.075378,-1364.847168,562.881165,747.549927,-1474.393188,165.647217,1414.078491,-1537.524414,97.071030,1182.440430,-1576.240234,100.029747,1068.629150,-1543.560669,57.264301,978.307861,-1489.026489,82.187996,799.759338,-1558.141968,53.676083,805.970459,-1505.651855,38.799171,709.643616,-1419.261108,461.485107,979.153442,-1428.759277,205.051086,991.866089,-1608.028076,372.019470,1025.203613,-1609.666626,291.379395,1023.739807,-1568.372070,511.881165,603.766113,-1628.001343,476.116669,494.395569,-1671.974487,477.163513,400.786713,-1838.681641,408.733704,75.938141,-1890.452515,365.817963,45.468777,-1692.316528,387.002594,32.405773,-1346.112549,153.166229,670.121765,-1321.276611,174.481339,511.426025,-1272.066772,167.617661,326.462128,-1198.640869,227.046890,59.031990,-1219.579346,274.458344,28.263048,-1042.540283,220.343857,85.654640,,,,,,,,,,,,,,,,,,,-1803.247925,322.023499,78.798271,-1166.063965,304.205048,88.349236
123,0,-1246.408203,370.572662,1599.480957,-1254.169556,248.969910,1601.561768,-1432.660889,397.559052,1594.982544,-1408.615601,232.316208,1600.202515,-1502.525269,330.949188,1489.627075,-1578.826172,330.453827,1142.216187,-1384.600586,329.153595,1392.941040,-1345.145996,338.659302,1207.788696,-1606.253174,243.199066,1279.009033,-1440.226318,489.613251,1439.801514,-1452.523071,582.317200,1186.074829,-1467.709229,585.657227,1091.087646,-1421.026001,592.696289,1000.917664,-1374.483521,519.015015,838.901611,-1414.491089,583.225525,834.920654,-1356.610718,561.915344,747.467346,-1465.753662,164.427444,1413.419556,-1529.089722,96.078079,1181.750366,-1568.127930,99.219711,1068.082764,-1535.905151,56.425293,977.641968,-1482.377686,81.419640,798.721924,-1551.428467,52.812012,805.356567,-1499.612671,38.048103,708.638428,-1411.415649,460.943909,978.556519,-1420.286011,204.585983,991.480408,-1599.795898,370.910400,1024.876221,-1601.321533,290.291656,1023.545166,-1562.753662,511.429535,603.979736,-1623.219482,475.894928,494.858612,-1668.053589,476.983978,401.629974,-1837.884644,409.393341,78.135689,-1889.981934,366.548889,48.494255,-1691.918945,387.241638,32.393196,-1336.951416,153.041595,669.875488,-1312.356689,174.605515,511.118652,-1264.452637,168.119629,325.928101,-1193.950928,227.701935,58.288326,-1215.722656,274.978851,28.195801,-1037.672485,221.198090,81.548615,,,,,,,,,,,,,,,,,,,-1802.364746,322.620697,80.631874,-1161.236084,305.017548,86.832497
